Commune,Avg_Distance_km,Population,Households,Tram_Stations,Primary_Roads,Secondary_Roads,ZIP_code
Ahl Laghlam,6.01,22926.0,3735.0,0,13,0,29640
Ain Chock,4.82,147945.0,24882.0,0,49,39,20190
Ain Sebaa,6.73,147102.61,25559.92,22,91,49,20590
Al Fida,3.18,155982.38,31322.0,2,23,41,20520
Al Idrissia,3.49,109565.0,20423.0,0,18,40,20450
Anfa,9.63,118056.88,22528.08,8,143,154,20040
Assoukhour Assawda,3.52,120479.88,24751.12,12,64,75,20320
Ben Msick,3.29,134933.81,22787.91,0,10,26,20023
Bou Chentouf,4.01,165442.67,32743.0,0,16,55,20500
Echchallalate,8.6,153118.0,27433.0,0,6,2,28822
El Maarif,6.63,184958.09,36683.29,24,111,131,20390
Hay Hassani,5.92,140728.03,26403.5,20,36,146,20220
Hay Mohammadi,3.88,106843.22,20434.33,10,31,25,20570
Lissasfa,5.59,44568.29,8215.71,2,15,4,20232
Mers Sultan,5.15,128165.34,26510.67,4,11,26,20550
Moulay Rachid,4.81,183195.0,29881.0,0,42,50,20660
Moulay Youssef,2.86,88758.47,17080.88,0,59,38,20060
Sidi Belyout,5.78,175098.14,37642.0,14,171,111,20000
Sidi Bernoussi,6.33,151863.91,27067.91,6,21,27,20600
Sidi Maarouf,9.29,30627.0,5711.57,0,12,11,20192
Sidi Moumen,6.11,117839.0,19653.33,14,19,35,20400
Sidi Othmane,5.06,102278.0,17241.77,0,9,64,20700
